D,W,Time
2,2,0.00620802
2,5,0.0140445
2,8,0.0218805
2,11,0.0296741
2,14,0.0376447
2,17,0.0451907
2,20,0.0530095
2,23,0.0604227
2,26,0.0689318
2,29,0.0762567
4,2,0.011937
4,5,0.0363615
4,8,0.0585457
4,11,0.0820191
4,14,0.105363
4,17,0.128811
4,20,0.151756
4,23,0.175196
4,26,0.198497
4,29,0.223076
6,2,0.017473
6,5,0.0562226
6,8,0.0952241
6,11,0.135942
6,14,0.173011
6,17,0.211813
6,20,0.255974
6,23,0.288919
6,26,0.339507
6,29,0.375426
8,2,0.023378
8,5,0.077966
8,8,0.131932
8,11,0.185937
8,14,0.244664
8,17,0.299858
8,20,0.352154
8,23,0.403835
8,26,0.461589
8,29,0.517376
10,2,0.0289639
10,5,0.0984
10,8,0.171658
10,11,0.241184
10,14,0.308595
10,17,0.384632
10,20,0.448043
10,23,0.527204
10,26,0.590965
10,29,0.65752
12,2,0.0346693
12,5,0.122425
12,8,0.205897
12,11,0.294015
12,14,0.382777
12,17,0.463994
12,20,0.548706
12,23,0.634615
12,26,0.717727
12,29,0.807588
14,2,0.0405434
14,5,0.142461
14,8,0.244165
14,11,0.345338
14,14,0.451497
14,17,0.546864
14,20,0.64463
14,23,0.758688
14,26,0.85092
14,29,0.95268
16,2,0.0458812
16,5,0.163932
16,8,0.280789
16,11,0.395215
16,14,0.515403
16,17,0.636403
16,20,0.760338
16,23,0.863563
16,26,0.983377
16,29,1.10598
18,2,0.0510303
18,5,0.184893
18,8,0.317047
18,11,0.452377
18,14,0.587934
18,17,0.715843
18,20,0.852184
18,23,0.977796
18,26,1.11333
18,29,1.24286
20,2,0.0570086
20,5,0.206591
20,8,0.353813
20,11,0.502044
20,14,0.648845
20,17,0.796892
20,20,0.948965
20,23,1.09909
20,26,1.24433
20,29,1.3909
22,2,0.0628175
22,5,0.225871
22,8,0.388969
22,11,0.556286
22,14,0.719142
22,17,0.889973
22,20,1.04603
22,23,1.23217
22,26,1.38126
22,29,1.53007
24,2,0.0687348
24,5,0.248622
24,8,0.429183
24,11,0.611356
24,14,0.78837
24,17,0.968306
24,20,1.14883
24,23,1.33693
24,26,1.50075
24,29,1.67646
26,2,0.0741312
26,5,0.269111
26,8,0.467942
26,11,0.665484
26,14,0.860292
26,17,1.04627
26,20,1.25297
26,23,1.4337
26,26,1.637
26,29,1.82377
28,2,0.0802617
28,5,0.294301
28,8,0.504463
28,11,0.711789
28,14,0.929122
28,17,1.13117
28,20,1.37945
28,23,1.62497
28,26,1.85772
28,29,2.04536
30,2,0.0878745
30,5,0.322426
30,8,0.558042
30,11,0.786198
30,14,1.02658
30,17,1.2206
30,20,1.44371
30,23,1.66235
30,26,1.89329
30,29,2.17788
